category,filename,http_code,phones_len,phones,kana_text
01_liaisons,do_it.wav,200,5,"d uː w eɪ t",ドウーウェイット
01_liaisons,get_it.wav,200,4,"k ʌ d d",カドド
01_liaisons,go_on.wav,200,5,"ɡ ɔ w ʌ n",グオウアン
01_liaisons,good_boy.wav,200,5,"k ʌ d b ɔ",カドブオー
01_liaisons,have_to.wav,200,5,"h ʌ f t uː",ハアフトウー
01_liaisons,i_agree.wav,200,5,"ʌ ə d ɹ iː",アアドルイー
01_liaisons,left_bank.wav,200,4,"ə f b ɛ",アフブエ
01_liaisons,live_in.wav,200,3,"l iː v",ルイーヴ
01_liaisons,lot_of.wav,200,4,"l ɑː ɹ v",ルアーラヴ
01_liaisons,need_in.wav,200,4,"n iː d n",ニイードン
01_liaisons,next_day.wav,200,6,"n ɑː k s ə ɪ",ナアークサイ
01_liaisons,out_of_it.wav,200,6,"ɑ ɹ ʌ v e d",アーラアヴェイド
01_liaisons,pick_it_up.wav,200,5,"ð ʌ k iː ɑː",ザキーイーアー
